(DeviceArray(0.5438, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.5, 'client_momentum': 0.01, 'server_momentum': 0.9, 'batch_size': 8, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.53540003, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.5, 'client_momentum': 0.01, 'server_momentum': 0.6, 'batch_size': 8, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.4972, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.3, 'client_momentum': 0.01, 'server_momentum': 0.9, 'batch_size': 8, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.4866, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.5, 'client_momentum': 0.01, 'server_momentum': 0.3, 'batch_size': 8, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.47650003, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.5, 'client_momentum': 0.01, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.46390003, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.3, 'client_momentum': 0.01, 'server_momentum': 0.6, 'batch_size': 8, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.45270002, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.5, 'client_momentum': 0.01, 'server_momentum': 0.0, 'batch_size': 8, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.45190004, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.5, 'client_momentum': 0.01, 'server_momentum': 0.6, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.42720002, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.3, 'client_momentum': 0.01, 'server_momentum': 0.3, 'batch_size': 8, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.42710003, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.3, 'client_momentum': 0.01, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.4234, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.5, 'client_momentum': 0.01, 'server_momentum': 0.3, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.411, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.3, 'client_momentum': 0.01, 'server_momentum': 0.6, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.40980002, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.5, 'client_momentum': 0.01, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.40760002, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.3, 'client_momentum': 0.01, 'server_momentum': 0.0, 'batch_size': 8, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.40350002, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.5, 'client_momentum': 0.01, 'server_momentum': 0.0, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.4011, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.1, 'client_momentum': 0.01, 'server_momentum': 0.9, 'batch_size': 8, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.38910002, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.5, 'client_momentum': 0.01, 'server_momentum': 0.6, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.3851, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.3, 'client_momentum': 0.01, 'server_momentum': 0.3, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.38410002, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.3, 'client_momentum': 0.01, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.37800002, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.1, 'client_momentum': 0.01, 'server_momentum': 0.6, 'batch_size': 8, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.3585, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.5, 'client_momentum': 0.01, 'server_momentum': 0.3, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.35810003, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.1, 'client_momentum': 0.01, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.35740003, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.3, 'client_momentum': 0.01, 'server_momentum': 0.0, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.3411, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.05, 'client_momentum': 0.01, 'server_momentum': 0.9, 'batch_size': 8, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.34050003, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.3, 'client_momentum': 0.01, 'server_momentum': 0.6, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.33710003, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.1, 'client_momentum': 0.01, 'server_momentum': 0.3, 'batch_size': 8, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.3242, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.5, 'client_momentum': 0.01, 'server_momentum': 0.0, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.3154, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.1, 'client_momentum': 0.01, 'server_momentum': 0.6, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.31410003, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.05, 'client_momentum': 0.01, 'server_momentum': 0.6, 'batch_size': 8, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.314, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.1, 'client_momentum': 0.01, 'server_momentum': 0.0, 'batch_size': 8, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.3127, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.03, 'client_momentum': 0.01, 'server_momentum': 0.9, 'batch_size': 8, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.30170003, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.3, 'client_momentum': 0.01, 'server_momentum': 0.3, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.2924, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.05, 'client_momentum': 0.01, 'server_momentum': 0.3, 'batch_size': 8, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.28950003, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.1, 'client_momentum': 0.01, 'server_momentum': 0.3, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.28620002, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.03, 'client_momentum': 0.01, 'server_momentum': 0.6, 'batch_size': 8, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
(DeviceArray(0.2827, dtype=float32), {'act_fn': 'relu', 'client_lr': 0.01, 'server_lr': 0.05, 'client_momentum': 0.01, 'server_momentum': 0.0, 'batch_size': 8, 'epochs_per_round': 2, 'rounds': 30, 'runs': 1, 'skew': 0.1})
